class_id,class_name,split,image_path,label_path,x_center,y_center,width,height
0,aloo_gobi,valid,data/food_dataset/valid/images/valid5271-aloo_gobi.jpg,data/food_dataset/valid/labels/valid5271-aloo_gobi.txt,0.568561,0.432792,0.692916,0.649103
0,aloo_gobi,test,data/food_dataset/test/images/test0436-aloo_gobi.jpg,data/food_dataset/test/labels/test0436-aloo_gobi.txt,0.513276,0.554022,0.837371,0.426641
0,aloo_gobi,train,data/food_dataset/train/images/train25918-aloo_gobi.jpg,data/food_dataset/train/labels/train25918-aloo_gobi.txt,0.646094,0.5,0.707812,0.999219
0,aloo_gobi,train,data/food_dataset/train/images/train2944-aloo_gobi.jpg,data/food_dataset/train/labels/train2944-aloo_gobi.txt,0.569231,0.51123,0.861538,0.97168
1,aloo_masala,test,data/food_dataset/test/images/test3741-aloo_masala.jpg,data/food_dataset/test/labels/test3741-aloo_masala.txt,0.5196,0.645453,0.74052,0.398467
1,aloo_masala,train,data/food_dataset/train/images/train10231-aloo_masala.jpg,data/food_dataset/train/labels/train10231-aloo_masala.txt,0.524314,0.521368,0.951371,0.957265
1,aloo_masala,train,data/food_dataset/train/images/train20546-aloo_masala.jpg,data/food_dataset/train/labels/train20546-aloo_masala.txt,0.513185,0.557002,0.973629,0.885996
1,aloo_masala,train,data/food_dataset/train/images/train27323-aloo_masala.jpg,data/food_dataset/train/labels/train27323-aloo_masala.txt,0.480469,0.441324,0.960938,0.882648
2,appam,valid,data/food_dataset/valid/images/valid4979-appam.jpg,data/food_dataset/valid/labels/valid4979-appam.txt,0.4875,0.491406,0.942187,0.882812
2,appam,test,data/food_dataset/test/images/test0781-appam.jpg,data/food_dataset/test/labels/test0781-appam.txt,0.513281,0.766406,0.971094,0.467187
2,appam,train,data/food_dataset/train/images/train20883-appam.jpg,data/food_dataset/train/labels/train20883-appam.txt,0.643587,0.972016,0.98353,0.98702
2,appam,train,data/food_dataset/train/images/train27871-appam.jpg,data/food_dataset/train/labels/train27871-appam.txt,0.803906,0.5,0.392188,1.0
3,beetroot_poriyal,train,data/food_dataset/train/images/train16559-beetroot_poriyal.jpg,data/food_dataset/train/labels/train16559-beetroot_poriyal.txt,0.528906,0.565625,0.567969,0.671094
3,beetroot_poriyal,train,data/food_dataset/train/images/train28026-beetroot_poriyal.jpg,data/food_dataset/train/labels/train28026-beetroot_poriyal.txt,0.167188,0.742969,0.334375,0.249219
3,beetroot_poriyal,train,data/food_dataset/train/images/train28053-beetroot_poriyal.jpg,data/food_dataset/train/labels/train28053-beetroot_poriyal.txt,0.503906,0.525781,0.991406,0.715625
3,beetroot_poriyal,train,data/food_dataset/train/images/train28103-beetroot_poriyal.jpg,data/food_dataset/train/labels/train28103-beetroot_poriyal.txt,0.438281,0.614844,0.499219,0.696875
4,besan_cheela,train,data/food_dataset/train/images/train19866-besan_cheela.jpg,data/food_dataset/train/labels/train19866-besan_cheela.txt,0.51695,0.76447,0.851145,0.468598
4,besan_cheela,train,data/food_dataset/train/images/train28199-besan_cheela.jpg,data/food_dataset/train/labels/train28199-besan_cheela.txt,0.459135,0.155048,0.543269,0.310096
4,besan_cheela,train,data/food_dataset/train/images/train8435-besan_cheela.jpg,data/food_dataset/train/labels/train8435-besan_cheela.txt,0.611399,0.332029,0.435856,0.664057
4,besan_cheela,train,data/food_dataset/train/images/train9492-besan_cheela.jpg,data/food_dataset/train/labels/train9492-besan_cheela.txt,0.323317,0.394231,0.362981,0.427885
5,bhakarwadi,train,data/food_dataset/train/images/train17722-bhakarwadi.jpg,data/food_dataset/train/labels/train17722-bhakarwadi.txt,0.443158,0.510503,0.833758,0.976378
5,bhakarwadi,train,data/food_dataset/train/images/train27451-bhakarwadi.jpg,data/food_dataset/train/labels/train27451-bhakarwadi.txt,0.5,0.470905,0.61334,0.507421
5,bhakarwadi,train,data/food_dataset/train/images/train28433-bhakarwadi.jpg,data/food_dataset/train/labels/train28433-bhakarwadi.txt,0.511852,0.48125,0.702222,0.665463
5,bhakarwadi,train,data/food_dataset/train/images/train28566-bhakarwadi.jpg,data/food_dataset/train/labels/train28566-bhakarwadi.txt,0.472141,0.515213,0.487811,0.767705
6,bhakri,train,data/food_dataset/train/images/train22655-bhakri.jpg,data/food_dataset/train/labels/train22655-bhakri.txt,0.5368,0.721191,0.694417,0.517971
6,bhakri,train,data/food_dataset/train/images/train27259-bhakri.jpg,data/food_dataset/train/labels/train27259-bhakri.txt,0.422708,0.568667,0.485708,0.518778
6,bhakri,train,data/food_dataset/train/images/train28610-bhakri.jpg,data/food_dataset/train/labels/train28610-bhakri.txt,0.425515,0.642239,0.745464,0.477336
6,bhakri,train,data/food_dataset/train/images/train28619-bhakri.jpg,data/food_dataset/train/labels/train28619-bhakri.txt,0.27429,0.53619,0.46809,0.26072
7,bhatura,train,data/food_dataset/train/images/train15921-bhatura.jpg,data/food_dataset/train/labels/train15921-bhatura.txt,0.446094,0.727344,0.53125,0.535937
7,bhatura,train,data/food_dataset/train/images/train18107-bhatura.jpg,data/food_dataset/train/labels/train18107-bhatura.txt,0.279687,0.583594,0.559375,0.829688
7,bhatura,train,data/food_dataset/train/images/train21814-bhatura.jpg,data/food_dataset/train/labels/train21814-bhatura.txt,0.603674,0.70205,0.676747,0.483112
7,bhatura,train,data/food_dataset/train/images/train8316-bhatura.jpg,data/food_dataset/train/labels/train8316-bhatura.txt,0.310156,0.527344,0.620313,0.851562
8,bhindi_masala,train,data/food_dataset/train/images/train15383-bhindi_masala.jpg,data/food_dataset/train/labels/train15383-bhindi_masala.txt,0.500781,0.50625,0.603125,0.705469
8,bhindi_masala,train,data/food_dataset/train/images/train16647-bhindi_masala.jpg,data/food_dataset/train/labels/train16647-bhindi_masala.txt,0.5,0.5,1.0,1.0
8,bhindi_masala,train,data/food_dataset/train/images/train3302-bhindi_masala.jpg,data/food_dataset/train/labels/train3302-bhindi_masala.txt,0.5,0.5,1.0,1.0
8,bhindi_masala,train,data/food_dataset/train/images/train6328-bhindi_masala.jpg,data/food_dataset/train/labels/train6328-bhindi_masala.txt,0.527891,0.419694,0.84898,0.473905
9,biryani,test,data/food_dataset/test/images/test4454-biryani.jpg,data/food_dataset/test/labels/test4454-biryani.txt,0.522341,0.431266,0.847323,0.862532
9,biryani,train,data/food_dataset/train/images/train32656-biryani.jpg,data/food_dataset/train/labels/train32656-biryani.txt,0.825001,0.826653,0.342798,0.346694
9,biryani,train,data/food_dataset/train/images/train7230-biryani.jpg,data/food_dataset/train/labels/train7230-biryani.txt,0.257012,0.793768,0.33822,0.412463
9,biryani,train,data/food_dataset/train/images/train9359-biryani.jpg,data/food_dataset/train/labels/train9359-biryani.txt,0.563468,0.501205,0.751969,0.866543
10,carrot_poriyal,test,data/food_dataset/test/images/test3061-carrot_poriyal.jpg,data/food_dataset/test/labels/test3061-carrot_poriyal.txt,0.865577,0.788321,0.934997,0.577777
10,carrot_poriyal,test,data/food_dataset/test/images/test5420-carrot_poriyal.jpg,data/food_dataset/test/labels/test5420-carrot_poriyal.txt,0.578906,0.499219,0.639844,0.941406
10,carrot_poriyal,train,data/food_dataset/train/images/train0298-carrot_poriyal.jpg,data/food_dataset/train/labels/train0298-carrot_poriyal.txt,0.588271,0.939788,0.997346,0.736756
10,carrot_poriyal,train,data/food_dataset/train/images/train28850-carrot_poriyal.jpg,data/food_dataset/train/labels/train28850-carrot_poriyal.txt,0.5125,0.548438,0.651563,0.760938
11,chai,valid,data/food_dataset/valid/images/valid1186-chai.jpg,data/food_dataset/valid/labels/valid1186-chai.txt,0.480434,0.527878,0.48246,0.311362
11,chai,train,data/food_dataset/train/images/train0131-chai.jpg,data/food_dataset/train/labels/train0131-chai.txt,0.58579,0.462388,0.092589,0.342778
11,chai,train,data/food_dataset/train/images/train10963-chai.jpg,data/food_dataset/train/labels/train10963-chai.txt,0.458699,0.567337,0.711547,0.66545
11,chai,train,data/food_dataset/train/images/train6235-chai.jpg,data/food_dataset/train/labels/train6235-chai.txt,0.429645,0.457023,0.531446,0.354223
12,chicken,test,data/food_dataset/test/images/test3819-chicken.jpg,data/food_dataset/test/labels/test3819-chicken.txt,0.625,0.575,0.75,0.79375
12,chicken,train,data/food_dataset/train/images/train11883-chicken.jpg,data/food_dataset/train/labels/train11883-chicken.txt,0.746094,0.575,0.507812,0.642188
12,chicken,train,data/food_dataset/train/images/train21858-chicken.jpg,data/food_dataset/train/labels/train21858-chicken.txt,0.410156,0.486719,0.820312,0.720313
12,chicken,train,data/food_dataset/train/images/train23068-chicken.jpg,data/food_dataset/train/labels/train23068-chicken.txt,0.499219,0.503906,0.8875,0.978906
13,chicken_65,train,data/food_dataset/train/images/train12452-chicken_65.jpg,data/food_dataset/train/labels/train12452-chicken_65.txt,0.714844,0.523438,0.570312,0.714063
13,chicken_65,train,data/food_dataset/train/images/train26783-chicken_65.jpg,data/food_dataset/train/labels/train26783-chicken_65.txt,0.457031,0.589063,0.727344,0.34375
13,chicken_65,train,data/food_dataset/train/images/train29205-chicken_65.jpg,data/food_dataset/train/labels/train29205-chicken_65.txt,0.500781,0.5,0.998437,1.0
13,chicken_65,train,data/food_dataset/train/images/train7902-chicken_65.jpg,data/food_dataset/train/labels/train7902-chicken_65.txt,0.473438,0.546094,0.697656,0.842969
14,chicken_biryani,train,data/food_dataset/train/images/train21700-chicken_biryani.jpg,data/food_dataset/train/labels/train21700-chicken_biryani.txt,0.881492,0.756299,0.984586,0.583803
14,chicken_biryani,train,data/food_dataset/train/images/train25558-chicken_biryani.jpg,data/food_dataset/train/labels/train25558-chicken_biryani.txt,0.471094,0.51875,0.545312,0.682813
14,chicken_biryani,train,data/food_dataset/train/images/train29349-chicken_biryani.jpg,data/food_dataset/train/labels/train29349-chicken_biryani.txt,0.464844,0.507812,0.838281,0.792969
14,chicken_biryani,train,data/food_dataset/train/images/train29459-chicken_biryani.jpg,data/food_dataset/train/labels/train29459-chicken_biryani.txt,0.48125,0.528906,0.859375,0.689844
15,chole,test,data/food_dataset/test/images/test5154-chole.jpg,data/food_dataset/test/labels/test5154-chole.txt,0.4875,0.5,0.975,1.0
15,chole,train,data/food_dataset/train/images/train12389-chole.jpg,data/food_dataset/train/labels/train12389-chole.txt,0.463832,0.475065,0.911985,0.794098
15,chole,train,data/food_dataset/train/images/train35473-chole.jpg,data/food_dataset/train/labels/train35473-chole.txt,0.649457,0.785213,0.701087,0.429575
15,chole,train,data/food_dataset/train/images/train6195-chole.jpg,data/food_dataset/train/labels/train6195-chole.txt,0.471094,0.432812,0.942187,0.865625
16,coconut_chutney,train,data/food_dataset/train/images/train2103-coconut_chutney.jpg,data/food_dataset/train/labels/train2103-coconut_chutney.txt,0.073253,0.709826,0.146507,0.292847
16,coconut_chutney,train,data/food_dataset/train/images/train5917-coconut_chutney.jpg,data/food_dataset/train/labels/train5917-coconut_chutney.txt,0.427344,0.080469,0.2,0.160938
16,coconut_chutney,train,data/food_dataset/train/images/train7981-coconut_chutney.jpg,data/food_dataset/train/labels/train7981-coconut_chutney.txt,0.574219,0.611719,0.704688,0.5
16,coconut_chutney,train,data/food_dataset/train/images/train8053-coconut_chutney.jpg,data/food_dataset/train/labels/train8053-coconut_chutney.txt,0.458594,0.261719,0.416406,0.320312
17,dal,valid,data/food_dataset/valid/images/valid4359-dal.jpg,data/food_dataset/valid/labels/valid4359-dal.txt,0.521094,0.524219,0.709375,0.598437
17,dal,test,data/food_dataset/test/images/test2880-dal.jpg,data/food_dataset/test/labels/test2880-dal.txt,0.53125,0.492188,0.715625,0.689063
17,dal,train,data/food_dataset/train/images/train11337-dal.jpg,data/food_dataset/train/labels/train11337-dal.txt,0.445337,0.458408,0.677905,0.487087
17,dal,train,data/food_dataset/train/images/train14225-dal.jpg,data/food_dataset/train/labels/train14225-dal.txt,0.363875,0.5,0.725797,1.0
18,dhokla,valid,data/food_dataset/valid/images/valid3146-dhokla.jpg,data/food_dataset/valid/labels/valid3146-dhokla.txt,0.5,0.5,1.0,1.0
18,dhokla,valid,data/food_dataset/valid/images/valid4860-dhokla.jpg,data/food_dataset/valid/labels/valid4860-dhokla.txt,0.538433,0.275712,0.457817,0.2675
18,dhokla,train,data/food_dataset/train/images/train22854-dhokla.jpg,data/food_dataset/train/labels/train22854-dhokla.txt,0.228125,0.513281,0.395313,0.484375
18,dhokla,train,data/food_dataset/train/images/train7879-dhokla.jpg,data/food_dataset/train/labels/train7879-dhokla.txt,0.425,0.457813,0.85,0.915625
19,dosa,valid,data/food_dataset/valid/images/valid3782-dosa.jpg,data/food_dataset/valid/labels/valid3782-dosa.txt,0.650625,0.493976,0.610245,0.905821
19,dosa,train,data/food_dataset/train/images/train13398-dosa.jpg,data/food_dataset/train/labels/train13398-dosa.txt,0.696783,0.452561,0.492392,0.621882
19,dosa,train,data/food_dataset/train/images/train14157-dosa.jpg,data/food_dataset/train/labels/train14157-dosa.txt,0.016138,0.106531,0.752471,0.98688
19,dosa,train,data/food_dataset/train/images/train3629-dosa.jpg,data/food_dataset/train/labels/train3629-dosa.txt,0.413867,0.419727,0.490508,0.744083
20,dum_aloo,valid,data/food_dataset/valid/images/valid0393-dum_aloo.jpg,data/food_dataset/valid/labels/valid0393-dum_aloo.txt,0.47765,0.467582,0.93719,0.760149
20,dum_aloo,test,data/food_dataset/test/images/test1910-dum_aloo.jpg,data/food_dataset/test/labels/test1910-dum_aloo.txt,0.548712,0.479012,0.548421,0.820236
20,dum_aloo,test,data/food_dataset/test/images/test4081-dum_aloo.jpg,data/food_dataset/test/labels/test4081-dum_aloo.txt,0.514632,0.510005,0.643692,0.642776
20,dum_aloo,train,data/food_dataset/train/images/train15102-dum_aloo.jpg,data/food_dataset/train/labels/train15102-dum_aloo.txt,0.40719,0.453906,0.814381,0.771875
21,eggs,valid,data/food_dataset/valid/images/valid0879-eggs.jpg,data/food_dataset/valid/labels/valid0879-eggs.txt,0.497224,0.463388,0.562259,0.869835
21,eggs,train,data/food_dataset/train/images/train18161-eggs.jpg,data/food_dataset/train/labels/train18161-eggs.txt,0.6875,0.595167,0.625,0.506302
21,eggs,train,data/food_dataset/train/images/train18289-eggs.jpg,data/food_dataset/train/labels/train18289-eggs.txt,0.608507,0.66552,0.704389,0.379375
21,eggs,train,data/food_dataset/train/images/train22967-eggs.jpg,data/food_dataset/train/labels/train22967-eggs.txt,0.363832,0.677982,0.65519,0.390963
22,fish_curry,train,data/food_dataset/train/images/train19842-fish_curry.jpg,data/food_dataset/train/labels/train19842-fish_curry.txt,0.421756,0.413194,0.843511,0.608916
22,fish_curry,train,data/food_dataset/train/images/train21203-fish_curry.jpg,data/food_dataset/train/labels/train21203-fish_curry.txt,0.527012,0.494279,0.945975,0.783999
22,fish_curry,train,data/food_dataset/train/images/train26873-fish_curry.jpg,data/food_dataset/train/labels/train26873-fish_curry.txt,0.5,0.5,1.0,1.0
22,fish_curry,train,data/food_dataset/train/images/train8741-fish_curry.jpg,data/food_dataset/train/labels/train8741-fish_curry.txt,0.494577,0.50266,0.432861,0.608686
23,ghevar,train,data/food_dataset/train/images/train17688-ghevar.jpg,data/food_dataset/train/labels/train17688-ghevar.txt,0.499431,0.443629,0.630334,0.489051
23,ghevar,train,data/food_dataset/train/images/train23125-ghevar.jpg,data/food_dataset/train/labels/train23125-ghevar.txt,0.333594,0.501563,0.667188,0.996875
23,ghevar,train,data/food_dataset/train/images/train29903-ghevar.jpg,data/food_dataset/train/labels/train29903-ghevar.txt,0.615739,0.61634,0.3169,0.379943
23,ghevar,train,data/food_dataset/train/images/train3832-ghevar.jpg,data/food_dataset/train/labels/train3832-ghevar.txt,0.303465,0.583385,0.606931,0.781663
24,green_chutney,test,data/food_dataset/test/images/test4663-green_chutney.jpg,data/food_dataset/test/labels/test4663-green_chutney.txt,0.586124,0.631755,0.312475,0.618765
24,green_chutney,train,data/food_dataset/train/images/train11511-green_chutney.jpg,data/food_dataset/train/labels/train11511-green_chutney.txt,0.506075,0.385851,0.664408,0.699175
24,green_chutney,train,data/food_dataset/train/images/train22272-green_chutney.jpg,data/food_dataset/train/labels/train22272-green_chutney.txt,0.565625,0.63125,0.74375,0.488281
24,green_chutney,train,data/food_dataset/train/images/train9701-green_chutney.jpg,data/food_dataset/train/labels/train9701-green_chutney.txt,0.214062,0.479687,0.321875,0.250781
25,gulab_jamun,train,data/food_dataset/train/images/train29982-gulab_jamun.jpg,data/food_dataset/train/labels/train29982-gulab_jamun.txt,0.775634,0.352745,0.160069,0.142176
25,gulab_jamun,train,data/food_dataset/train/images/train30012-gulab_jamun.jpg,data/food_dataset/train/labels/train30012-gulab_jamun.txt,0.534375,0.232813,0.4375,0.3625
25,gulab_jamun,train,data/food_dataset/train/images/train30038-gulab_jamun.jpg,data/food_dataset/train/labels/train30038-gulab_jamun.txt,0.379808,0.304087,0.21274,0.379808
