class_name,train_images_before,train_images_after,train_annotations_before,train_annotations_after,valid_images_before,valid_images_after,valid_annotations_before,valid_annotations_after,test_images_before,test_images_after,test_annotations_before,test_annotations_after
aloo_gobi,556,568,560,572,119,119,121,121,119,119,120,120
aloo_masala,520,528,530,538,111,111,115,115,112,112,113,113
appam,210,421,236,473,45,45,50,50,45,45,47,47
beetroot_poriyal,210,421,314,629,45,45,65,65,45,45,63,63
besan_cheela,207,414,365,730,44,44,69,69,45,45,84,84
bhakarwadi,256,500,257,502,55,55,56,56,55,55,56,56
bhakri,79,168,112,240,17,17,19,19,17,17,21,21
bhatura,680,680,1231,1231,145,145,261,261,146,146,268,268
bhindi_masala,1046,1056,1051,1061,224,224,225,225,224,224,224,224
biryani,700,703,719,722,150,150,152,152,150,150,159,159
carrot_poriyal,210,421,338,677,45,45,70,70,45,45,77,77
chai,340,511,494,735,73,73,99,99,73,73,108,108
chicken,925,925,1027,1027,198,198,214,214,198,198,214,214
chicken_65,210,421,219,440,45,45,50,50,45,45,46,46
chicken_biryani,210,420,222,444,45,45,45,45,45,45,50,50
chole,1277,1362,1361,1457,273,273,289,289,274,274,289,289
coconut_chutney,1007,1207,1047,1257,216,216,226,226,216,216,218,218
dal,970,985,1030,1045,208,208,216,216,208,208,222,222
dhokla,703,704,863,865,151,151,186,186,151,151,182,182
dosa,1125,1227,1458,1562,241,241,319,319,241,241,285,285
dum_aloo,358,500,363,508,77,77,84,84,77,77,78,78
eggs,519,561,584,632,111,111,128,128,111,111,131,131
fish_curry,362,500,376,518,77,77,78,78,78,78,81,81
ghevar,235,470,439,878,50,50,100,100,51,51,97,97
green_chutney,661,748,695,784,141,141,148,148,142,142,151,151
gulab_jamun,272,501,1744,3228,58,58,409,409,59,59,415,415
idli,821,889,2426,2513,176,176,506,506,176,176,499,499
jalebi,872,872,1041,1041,187,187,241,241,187,187,236,236
kaara_chutney,218,457,227,477,46,46,49,49,47,47,47,47
kali,210,423,323,654,45,45,57,57,45,45,68,68
kebab,161,322,861,1722,34,34,179,179,35,35,175,175
khandvi,325,500,344,530,70,70,75,75,70,70,76,76
kheer,294,500,440,747,63,63,85,85,63,63,93,93
koozh,210,421,262,528,45,45,47,47,45,45,62,62
kulfi,332,500,628,953,71,71,139,139,71,71,142,142
lassi,322,500,513,784,69,69,113,113,69,69,99,99
lemon_rice,210,420,230,460,45,45,51,51,45,45,55,55
medu_vada,386,522,456,620,83,83,101,101,83,83,98,98
modak,120,240,613,1226,26,26,94,94,26,26,101,101
mushroom_biryani,210,420,225,450,45,45,48,48,45,45,48,48
mutton_biryani,210,421,210,421,45,45,45,45,45,45,45,45
mutton_curry,350,500,350,500,75,75,75,75,75,75,75,75
nandu_masala,210,420,216,432,45,45,47,47,45,45,47,47
nei_satham,210,420,211,422,45,45,47,47,45,45,45,45
omelette,212,440,220,457,45,45,46,46,46,46,49,49
onion_pakoda,333,500,342,515,71,71,73,73,72,72,76,76
paal_kolukattai,210,420,225,450,45,45,53,53,45,45,52,52
palak_paneer,1000,1000,1017,1017,214,214,220,220,214,214,216,216
paneer_biryani,210,420,211,422,45,45,45,45,45,45,46,46
paratha,127,282,149,326,27,27,34,34,28,28,31,31
parupu_vadai,210,425,256,522,45,45,54,54,45,45,62,62
pidi_kolukattai,210,422,223,448,45,45,62,62,45,45,50,50
poha,1049,1058,1138,1147,224,224,235,235,225,225,244,244
poorna_kolukattai,210,421,228,457,45,45,47,47,45,45,57,57
prawn_thokku,210,420,217,434,45,45,48,48,45,45,46,46
puri,380,535,421,604,81,81,88,88,82,82,91,91
raita,239,554,254,584,51,51,52,52,52,52,57,57
rajma_curry,1008,1050,1019,1061,216,216,220,220,216,216,219,219
ras_malai,322,500,370,569,69,69,74,74,69,69,75,75
rice,1776,1856,1920,2018,380,380,415,415,381,381,424,424
roti,803,821,913,931,172,172,201,201,172,172,214,214
saag,525,525,532,532,112,112,115,115,113,113,115,115
salad,157,360,191,434,34,34,39,39,34,34,43,43
sambar,475,617,496,641,102,102,106,106,102,102,110,110
sambar_satham,210,420,210,420,45,45,45,45,45,45,45,45
samosa,358,500,1592,2220,77,77,355,355,77,77,342,342
shahi_paneer,878,878,893,893,188,188,189,189,189,189,191,191
thepla,174,377,190,419,37,37,40,40,38,38,43,43
upma,145,290,159,318,31,31,31,31,31,31,32,32
veg_briyani,210,420,216,432,45,45,47,47,45,45,46,46
veg_pulao,170,364,182,391,36,36,37,37,37,37,42,42
ven_pongal,210,433,214,441,45,45,48,48,45,45,47,47
