Merged dataset build complete
Total classes: 72
Universal split ratio: 0.70/0.15/0.15
Train augmentation target annotations per class: 2426

[train]
aloo_gobi: before_images=556, after_images=2532, before_annotations=560, after_annotations=2552
aloo_masala: before_images=520, after_images=2530, before_annotations=530, after_annotations=2576
appam: before_images=210, after_images=2125, before_annotations=236, after_annotations=2438
beetroot_poriyal: before_images=210, after_images=1640, before_annotations=314, after_annotations=2431
besan_cheela: before_images=207, after_images=1370, before_annotations=365, after_annotations=2426
bhakarwadi: before_images=256, after_images=2412, before_annotations=257, after_annotations=2426
bhakri: before_images=79, after_images=1798, before_annotations=112, after_annotations=2545
bhatura: before_images=680, after_images=1566, before_annotations=1231, after_annotations=2817
bhindi_masala: before_images=1046, after_images=2539, before_annotations=1051, after_annotations=2549
biryani: before_images=700, after_images=2396, before_annotations=719, after_annotations=2475
carrot_poriyal: before_images=210, after_images=1504, before_annotations=338, after_annotations=2426
chai: before_images=340, after_images=1797, before_annotations=494, after_annotations=2553
chicken: before_images=925, after_images=2346, before_annotations=1027, after_annotations=2577
chicken_65: before_images=210, after_images=2342, before_annotations=219, after_annotations=2458
chicken_biryani: before_images=210, after_images=2335, before_annotations=222, after_annotations=2472
chole: before_images=1277, after_images=3064, before_annotations=1361, after_annotations=3324
coconut_chutney: before_images=1007, after_images=4539, before_annotations=1047, after_annotations=4738
dal: before_images=970, after_images=2502, before_annotations=1030, after_annotations=2644
dhokla: before_images=703, after_images=2002, before_annotations=863, after_annotations=2434
dosa: before_images=1125, after_images=3058, before_annotations=1458, after_annotations=3616
dum_aloo: before_images=358, after_images=2390, before_annotations=363, after_annotations=2426
eggs: before_images=519, after_images=2435, before_annotations=584, after_annotations=2778
fish_curry: before_images=362, after_images=2334, before_annotations=376, after_annotations=2426
ghevar: before_images=235, after_images=1301, before_annotations=439, after_annotations=2426
green_chutney: before_images=661, after_images=2926, before_annotations=695, after_annotations=3058
gulab_jamun: before_images=272, after_images=383, before_annotations=1744, after_annotations=2438
idli: before_images=821, after_images=1986, before_annotations=2426, after_annotations=4323
jalebi: before_images=872, after_images=2036, before_annotations=1041, after_annotations=2426
kaara_chutney: before_images=218, after_images=2571, before_annotations=227, after_annotations=2698
kali: before_images=210, after_images=1606, before_annotations=323, after_annotations=2426
kebab: before_images=161, after_images=450, before_annotations=861, after_annotations=2426
khandvi: before_images=325, after_images=2272, before_annotations=344, after_annotations=2426
kheer: before_images=294, after_images=1625, before_annotations=440, after_annotations=2427
koozh: before_images=210, after_images=1938, before_annotations=262, after_annotations=2426
kulfi: before_images=332, after_images=1270, before_annotations=628, after_annotations=2426
lassi: before_images=322, after_images=1537, before_annotations=513, after_annotations=2428
lemon_rice: before_images=210, after_images=2204, before_annotations=230, after_annotations=2426
medu_vada: before_images=386, after_images=2309, before_annotations=456, after_annotations=2760
modak: before_images=120, after_images=476, before_annotations=613, after_annotations=2432
mushroom_biryani: before_images=210, after_images=2272, before_annotations=225, after_annotations=2426
mutton_biryani: before_images=210, after_images=2426, before_annotations=210, after_annotations=2426
mutton_curry: before_images=350, after_images=2426, before_annotations=350, after_annotations=2426
nandu_masala: before_images=210, after_images=2367, before_annotations=216, after_annotations=2427
nei_satham: before_images=210, after_images=2412, before_annotations=211, after_annotations=2426
omelette: before_images=212, after_images=2465, before_annotations=220, after_annotations=2548
onion_pakoda: before_images=333, after_images=2351, before_annotations=342, after_annotations=2426
paal_kolukattai: before_images=210, after_images=2249, before_annotations=225, after_annotations=2426
palak_paneer: before_images=1000, after_images=2384, before_annotations=1017, after_annotations=2426
paneer_biryani: before_images=210, after_images=2415, before_annotations=211, after_annotations=2426
paratha: before_images=127, after_images=2230, before_annotations=149, after_annotations=2598
parupu_vadai: before_images=210, after_images=1960, before_annotations=256, after_annotations=2431
pidi_kolukattai: before_images=210, after_images=2293, before_annotations=223, after_annotations=2436
poha: before_images=1049, after_images=2309, before_annotations=1138, after_annotations=2486
poorna_kolukattai: before_images=210, after_images=2263, before_annotations=228, after_annotations=2426
prawn_thokku: before_images=210, after_images=2346, before_annotations=217, after_annotations=2426
puri: before_images=380, after_images=2417, before_annotations=421, after_annotations=2740
raita: before_images=239, after_images=2868, before_annotations=254, after_annotations=2976
rajma_curry: before_images=1008, after_images=2707, before_annotations=1019, after_annotations=2733
ras_malai: before_images=322, after_images=2133, before_annotations=370, after_annotations=2426
rice: before_images=1776, after_images=3943, before_annotations=1920, after_annotations=4348
roti: before_images=803, after_images=2260, before_annotations=913, after_annotations=2570
saag: before_images=525, after_images=2400, before_annotations=532, after_annotations=2426
salad: before_images=157, after_images=2035, before_annotations=191, after_annotations=2485
sambar: before_images=475, after_images=2691, before_annotations=496, after_annotations=2763
sambar_satham: before_images=210, after_images=2426, before_annotations=210, after_annotations=2426
samosa: before_images=358, after_images=556, before_annotations=1592, after_annotations=2427
shahi_paneer: before_images=878, after_images=2382, before_annotations=893, after_annotations=2426
thepla: before_images=174, after_images=2166, before_annotations=190, after_annotations=2426
upma: before_images=145, after_images=2207, before_annotations=159, after_annotations=2426
veg_briyani: before_images=210, after_images=2360, before_annotations=216, after_annotations=2426
veg_pulao: before_images=170, after_images=2278, before_annotations=182, after_annotations=2426
ven_pongal: before_images=210, after_images=2379, before_annotations=214, after_annotations=2426

[valid]
aloo_gobi: before_images=119, after_images=119, before_annotations=121, after_annotations=121
aloo_masala: before_images=111, after_images=111, before_annotations=115, after_annotations=115
appam: before_images=45, after_images=45, before_annotations=50, after_annotations=50
beetroot_poriyal: before_images=45, after_images=45, before_annotations=65, after_annotations=65
besan_cheela: before_images=44, after_images=44, before_annotations=69, after_annotations=69
bhakarwadi: before_images=55, after_images=55, before_annotations=56, after_annotations=56
bhakri: before_images=17, after_images=17, before_annotations=19, after_annotations=19
bhatura: before_images=145, after_images=145, before_annotations=261, after_annotations=261
bhindi_masala: before_images=224, after_images=224, before_annotations=225, after_annotations=225
biryani: before_images=150, after_images=150, before_annotations=152, after_annotations=152
carrot_poriyal: before_images=45, after_images=45, before_annotations=70, after_annotations=70
chai: before_images=73, after_images=73, before_annotations=99, after_annotations=99
chicken: before_images=198, after_images=198, before_annotations=214, after_annotations=214
chicken_65: before_images=45, after_images=45, before_annotations=50, after_annotations=50
chicken_biryani: before_images=45, after_images=45, before_annotations=45, after_annotations=45
chole: before_images=273, after_images=273, before_annotations=289, after_annotations=289
coconut_chutney: before_images=216, after_images=216, before_annotations=226, after_annotations=226
dal: before_images=208, after_images=208, before_annotations=216, after_annotations=216
dhokla: before_images=151, after_images=151, before_annotations=186, after_annotations=186
dosa: before_images=241, after_images=241, before_annotations=319, after_annotations=319
dum_aloo: before_images=77, after_images=77, before_annotations=84, after_annotations=84
eggs: before_images=111, after_images=111, before_annotations=128, after_annotations=128
fish_curry: before_images=77, after_images=77, before_annotations=78, after_annotations=78
ghevar: before_images=50, after_images=50, before_annotations=100, after_annotations=100
green_chutney: before_images=141, after_images=141, before_annotations=148, after_annotations=148
gulab_jamun: before_images=58, after_images=58, before_annotations=409, after_annotations=409
