class_name,train_images_before,train_images_after,train_annotations_before,train_annotations_after,valid_images_before,valid_images_after,valid_annotations_before,valid_annotations_after,test_images_before,test_images_after,test_annotations_before,test_annotations_after
aloo_gobi,556,2532,560,2552,119,119,121,121,119,119,120,120
aloo_masala,520,2530,530,2576,111,111,115,115,112,112,113,113
appam,210,2125,236,2438,45,45,50,50,45,45,47,47
beetroot_poriyal,210,1640,314,2431,45,45,65,65,45,45,63,63
besan_cheela,207,1370,365,2426,44,44,69,69,45,45,84,84
bhakarwadi,256,2412,257,2426,55,55,56,56,55,55,56,56
bhakri,79,1798,112,2545,17,17,19,19,17,17,21,21
bhatura,680,1566,1231,2817,145,145,261,261,146,146,268,268
bhindi_masala,1046,2539,1051,2549,224,224,225,225,224,224,224,224
biryani,700,2396,719,2475,150,150,152,152,150,150,159,159
carrot_poriyal,210,1504,338,2426,45,45,70,70,45,45,77,77
chai,340,1797,494,2553,73,73,99,99,73,73,108,108
chicken,925,2346,1027,2577,198,198,214,214,198,198,214,214
chicken_65,210,2342,219,2458,45,45,50,50,45,45,46,46
chicken_biryani,210,2335,222,2472,45,45,45,45,45,45,50,50
chole,1277,3064,1361,3324,273,273,289,289,274,274,289,289
coconut_chutney,1007,4539,1047,4738,216,216,226,226,216,216,218,218
dal,970,2502,1030,2644,208,208,216,216,208,208,222,222
dhokla,703,2002,863,2434,151,151,186,186,151,151,182,182
dosa,1125,3058,1458,3616,241,241,319,319,241,241,285,285
dum_aloo,358,2390,363,2426,77,77,84,84,77,77,78,78
eggs,519,2435,584,2778,111,111,128,128,111,111,131,131
fish_curry,362,2334,376,2426,77,77,78,78,78,78,81,81
ghevar,235,1301,439,2426,50,50,100,100,51,51,97,97
green_chutney,661,2926,695,3058,141,141,148,148,142,142,151,151
gulab_jamun,272,383,1744,2438,58,58,409,409,59,59,415,415
idli,821,1986,2426,4323,176,176,506,506,176,176,499,499
jalebi,872,2036,1041,2426,187,187,241,241,187,187,236,236
kaara_chutney,218,2571,227,2698,46,46,49,49,47,47,47,47
kali,210,1606,323,2426,45,45,57,57,45,45,68,68
kebab,161,450,861,2426,34,34,179,179,35,35,175,175
khandvi,325,2272,344,2426,70,70,75,75,70,70,76,76
kheer,294,1625,440,2427,63,63,85,85,63,63,93,93
koozh,210,1938,262,2426,45,45,47,47,45,45,62,62
kulfi,332,1270,628,2426,71,71,139,139,71,71,142,142
lassi,322,1537,513,2428,69,69,113,113,69,69,99,99
lemon_rice,210,2204,230,2426,45,45,51,51,45,45,55,55
medu_vada,386,2309,456,2760,83,83,101,101,83,83,98,98
modak,120,476,613,2432,26,26,94,94,26,26,101,101
mushroom_biryani,210,2272,225,2426,45,45,48,48,45,45,48,48
mutton_biryani,210,2426,210,2426,45,45,45,45,45,45,45,45
mutton_curry,350,2426,350,2426,75,75,75,75,75,75,75,75
nandu_masala,210,2367,216,2427,45,45,47,47,45,45,47,47
nei_satham,210,2412,211,2426,45,45,47,47,45,45,45,45
omelette,212,2465,220,2548,45,45,46,46,46,46,49,49
onion_pakoda,333,2351,342,2426,71,71,73,73,72,72,76,76
paal_kolukattai,210,2249,225,2426,45,45,53,53,45,45,52,52
palak_paneer,1000,2384,1017,2426,214,214,220,220,214,214,216,216
paneer_biryani,210,2415,211,2426,45,45,45,45,45,45,46,46
paratha,127,2230,149,2598,27,27,34,34,28,28,31,31
parupu_vadai,210,1960,256,2431,45,45,54,54,45,45,62,62
pidi_kolukattai,210,2293,223,2436,45,45,62,62,45,45,50,50
poha,1049,2309,1138,2486,224,224,235,235,225,225,244,244
poorna_kolukattai,210,2263,228,2426,45,45,47,47,45,45,57,57
prawn_thokku,210,2346,217,2426,45,45,48,48,45,45,46,46
puri,380,2417,421,2740,81,81,88,88,82,82,91,91
raita,239,2868,254,2976,51,51,52,52,52,52,57,57
rajma_curry,1008,2707,1019,2733,216,216,220,220,216,216,219,219
ras_malai,322,2133,370,2426,69,69,74,74,69,69,75,75
rice,1776,3943,1920,4348,380,380,415,415,381,381,424,424
roti,803,2260,913,2570,172,172,201,201,172,172,214,214
saag,525,2400,532,2426,112,112,115,115,113,113,115,115
salad,157,2035,191,2485,34,34,39,39,34,34,43,43
sambar,475,2691,496,2763,102,102,106,106,102,102,110,110
sambar_satham,210,2426,210,2426,45,45,45,45,45,45,45,45
samosa,358,556,1592,2427,77,77,355,355,77,77,342,342
shahi_paneer,878,2382,893,2426,188,188,189,189,189,189,191,191
thepla,174,2166,190,2426,37,37,40,40,38,38,43,43
upma,145,2207,159,2426,31,31,31,31,31,31,32,32
veg_briyani,210,2360,216,2426,45,45,47,47,45,45,46,46
veg_pulao,170,2278,182,2426,36,36,37,37,37,37,42,42
ven_pongal,210,2379,214,2426,45,45,48,48,45,45,47,47
