epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1011.34,1.11398,2.39729,1.50858,0.48098,0.43691,0.41831,0.28246,1.19658,1.8873,1.67549,0.00999566,0.00333189,0.00999566,0.00333189,0.00999566,0.00333189,0.00999566,0.00333189
2,1836.14,1.12419,1.86527,1.49176,0.4396,0.45076,0.40213,0.26981,1.19181,1.79414,1.65718,0.0197977,0.00659923,0.0197977,0.00659923,0.0197977,0.00659923,0.0197977,0.00659923
3,2614.69,1.18654,2.072,1.54502,0.47047,0.44109,0.40762,0.26877,1.25101,1.75218,1.74611,0.0294017,0.00980058,0.0294017,0.00980058,0.0294017,0.00980058,0.0294017,0.00980058
4,3376.69,1.17467,2.00281,1.53483,0.5244,0.55187,0.53933,0.37384,1.11794,1.36844,1.57394,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,4140.91,1.1076,1.75618,1.47544,0.62801,0.59017,0.61445,0.43808,1.05149,1.15944,1.50229,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,4908.89,1.0646,1.59575,1.44343,0.64972,0.62103,0.63338,0.45824,1.01779,1.05307,1.45456,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,5677.46,1.03494,1.49577,1.41861,0.66627,0.66141,0.67978,0.49913,0.98881,0.94861,1.41688,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,6445.09,1.01444,1.42365,1.40196,0.68126,0.68345,0.70895,0.52427,0.95533,0.87356,1.3881,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,7212.67,0.99929,1.35482,1.38979,0.73287,0.69812,0.73506,0.54847,0.94915,0.83086,1.37923,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,7979.47,0.98639,1.31008,1.3779,0.74313,0.70617,0.74756,0.56173,0.92447,0.79406,1.35993,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,8746.65,0.96621,1.2546,1.36084,0.7456,0.71,0.74717,0.56423,0.92212,0.77754,1.35051,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,9512.77,0.9578,1.2309,1.35693,0.75606,0.72663,0.76188,0.57545,0.90979,0.74432,1.33452,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,10278.7,0.94943,1.19521,1.34906,0.75058,0.74492,0.77054,0.58381,0.90119,0.71976,1.32422,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,11045.9,0.94003,1.16556,1.34018,0.76336,0.74496,0.77875,0.59544,0.88258,0.68834,1.30417,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,11816.4,0.93334,1.14197,1.33573,0.78525,0.73607,0.78357,0.60173,0.87927,0.68318,1.30353,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,12584.0,0.92463,1.11563,1.3291,0.79334,0.73744,0.78711,0.60561,0.87259,0.67745,1.29341,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,13350.4,0.91629,1.09219,1.32056,0.7748,0.7768,0.79459,0.61424,0.86113,0.65622,1.28477,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
